category id;active (0/1);name *;parent category;root category (0/1);description;meta title;meta keywords;meta description;url rewritten;image url
9;1;Strona główna;Home;1;;;;;;file:///images//20699-large_default-piornik-szkolny-z-duzym-suwakiem-jednorozec-holo.jpg
10;1;2x2x2;9;0;;;;;;file:///images//26251-large_default-kostka-logiczna-2x2x2-pastelowa-moyu.jpg
11;1;3x3x3;9;0;;;;;;file:///images//23346-large_default-kostka-3x3x3.jpg
12;1;4x4x4;9;0;;;;;;file:///images//26255-large_default-kostka-logiczna-4x4x4-pastel-moyu.jpg
13;1;5x5x5;9;0;;;;;;file:///images//26257-large_default-kostka-logiczna-5x5x5-pastel-moyu.jpg
14;1;Długopisy;9;0;;;;;;file:///images//20710-large_default-dlugopis-wyskakujacy-jednorozec-anystresowy-fidget-toy.jpg
15;1;Fidget toys;9;0;;;;;;file:///images//20084-large_default-opaska-jednorozec-fidget-toy-2-szt.jpg
16;1;Fun-zabawki;9;0;;;;;;file:///images//24298-large_default-koszykowka-elektroniczna-kula-dunk-led.jpg
17;1;Gniotki antystresowe;9;0;;;;;;file:///images//20378-large_default-kule-sensoryczne-kulka-ciasto-2szt.jpg
18;1;Gniotki squishy;9;0;;;;;;file:///images//16060-large_default-squishy-papuga-zolta.jpg
19;1;Markery Alkoholowe;9;0;;;;;;file:///images//23890-large_default-markery-alkoholowe-touch-torba-zestaw-24-szt-dwustronne.jpg
20;1;Masy plastyczne, Slime;9;0;;;;;;file:///images//24281-large_default-slime-butelki-owocowe-false-water-.jpg
21;1;Mystery BOX;9;0;;;;;;file:///images//21116-large_default-mystery-box-fidget-toys-xxl.jpg
22;1;Piórniki;9;0;;;;;;file:///images//20599-large_default-piornik-szkolny-czarny-bialy-kot-kotek.jpg
23;1;Pluszaki i maskotki;9;0;;;;;;file:///images//23853-large_default-huggy-wuggy-maskotka-poppy-playtime-pluszowa-zabawka-40-cm.jpg
24;1;Popit;9;0;;;;;;file:///images//19953-large_default-popit-cake-ciastko-pastelove.jpg
26;1;Zestawy antystresowe;9;0;;;;;;file:///images//19758-large_default-fidget-toys-super-zestaw-slime-squishy-popit.jpg
27;1;kostki logiczne;9;0;;;;;;file:///images//6635-large_default-kostka-logiczna-mirror-gold.jpg
28;1;slime;9;0;;;;;;file:///images//22857-large_default-slime-galaxy-mieniaca-sie-masa-2-szt.jpg
29;1;zestawy kreatywne;9;0;;;;;;file:///images//23242-large_default-box-jednorozec-z-torebka-unicorn.jpg
