product id*;product index;attribute (name:type:position)*;value (value:position)*;supplier reference;reference;ean13;upc;MPN;wholesale price;impact on price;ecotax;quantity;minimal quantity;low stock level;send me an email when the quantity is under this level;impact on weight;default (0 = no, 1 = yes);combination available date;image position;image urls (x,y,z...);image alt texts (x,y,z...);id / name of shop;advanced stock managment;depends on stock;warehouse
22;;Kolor:color:0;Niebieski:0;;;;;;;;;35;;;;;;;;file:///images/19215-large_default-jellies-orbeez-squiqshy-maskotka.jpg,file:///images/19216-large_default-jellies-orbeez-squiqshy-maskotka.jpg,file:///images/19217-large_default-jellies-orbeez-squiqshy-maskotka.jpg,file:///images/19218-large_default-jellies-orbeez-squiqshy-maskotka.jpg;;;;;
22;;Kolor:color:0;jasny róż:0;;;;;;;;;31;;;;;;;;file:///images/19214-large_default-jellies-orbeez-squiqshy-maskotka.jpg,file:///images/19212-large_default-jellies-orbeez-squiqshy-maskotka.jpg,file:///images/19211-large_default-jellies-orbeez-squiqshy-maskotka.jpg,file:///images/19213-large_default-jellies-orbeez-squiqshy-maskotka.jpg;;;;;
49;;Kolor:color:0;Zielony:0;;;;;;;;;9;;;;;;;;file:///images/27401-large_default-slime-z-kula-galaxy-masa-plastyczna.jpg,file:///images/27391-large_default-slime-z-kula-galaxy-masa-plastyczna.jpg,file:///images/27392-large_default-slime-z-kula-galaxy-masa-plastyczna.jpg,file:///images/27393-large_default-slime-z-kula-galaxy-masa-plastyczna.jpg,file:///images/27394-large_default-slime-z-kula-galaxy-masa-plastyczna.jpg,file:///images/27395-large_default-slime-z-kula-galaxy-masa-plastyczna.jpg,file:///images/27396-large_default-slime-z-kula-galaxy-masa-plastyczna.jpg,file:///images/27397-large_default-slime-z-kula-galaxy-masa-plastyczna.jpg,file:///images/27378-large_default-slime-z-kula-galaxy-masa-plastyczna.jpg,file:///images/27379-large_default-slime-z-kula-galaxy-masa-plastyczna.jpg,file:///images/27380-large_default-slime-z-kula-galaxy-masa-plastyczna.jpg,file:///images/27398-large_default-slime-z-kula-galaxy-masa-plastyczna.jpg;;;;;
49;;Kolor:color:0;Fioletowy:0;;;;;;;;;0;;;;;;;;file:///images/27400-large_default-slime-z-kula-galaxy-masa-plastyczna.jpg,file:///images/27381-large_default-slime-z-kula-galaxy-masa-plastyczna.jpg,file:///images/27382-large_default-slime-z-kula-galaxy-masa-plastyczna.jpg,file:///images/27383-large_default-slime-z-kula-galaxy-masa-plastyczna.jpg,file:///images/27384-large_default-slime-z-kula-galaxy-masa-plastyczna.jpg,file:///images/27385-large_default-slime-z-kula-galaxy-masa-plastyczna.jpg,file:///images/27378-large_default-slime-z-kula-galaxy-masa-plastyczna.jpg,file:///images/27379-large_default-slime-z-kula-galaxy-masa-plastyczna.jpg,file:///images/27380-large_default-slime-z-kula-galaxy-masa-plastyczna.jpg,file:///images/27398-large_default-slime-z-kula-galaxy-masa-plastyczna.jpg;;;;;
49;;Kolor:color:0;róż:0;;;;;;;;;0;;;;;;;;file:///images/27399-large_default-slime-z-kula-galaxy-masa-plastyczna.jpg,file:///images/27386-large_default-slime-z-kula-galaxy-masa-plastyczna.jpg,file:///images/27387-large_default-slime-z-kula-galaxy-masa-plastyczna.jpg,file:///images/27388-large_default-slime-z-kula-galaxy-masa-plastyczna.jpg,file:///images/27389-large_default-slime-z-kula-galaxy-masa-plastyczna.jpg,file:///images/27390-large_default-slime-z-kula-galaxy-masa-plastyczna.jpg,file:///images/27378-large_default-slime-z-kula-galaxy-masa-plastyczna.jpg,file:///images/27379-large_default-slime-z-kula-galaxy-masa-plastyczna.jpg,file:///images/27380-large_default-slime-z-kula-galaxy-masa-plastyczna.jpg,file:///images/27398-large_default-slime-z-kula-galaxy-masa-plastyczna.jpg;;;;;
50;;Kolor:color:0;Pomarańczowy:0;;;;;;;;;14;;;;;;;;file:///images/27406-large_default-zestaw-slime-z-zabawka-squishy-masa-plastyczna.jpg,file:///images/27291-large_default-zestaw-slime-z-zabawka-squishy-masa-plastyczna.jpg,file:///images/27292-large_default-zestaw-slime-z-zabawka-squishy-masa-plastyczna.jpg,file:///images/27293-large_default-zestaw-slime-z-zabawka-squishy-masa-plastyczna.jpg,file:///images/27294-large_default-zestaw-slime-z-zabawka-squishy-masa-plastyczna.jpg,file:///images/27295-large_default-zestaw-slime-z-zabawka-squishy-masa-plastyczna.jpg,file:///images/27296-large_default-zestaw-slime-z-zabawka-squishy-masa-plastyczna.jpg;;;;;
50;;Kolor:color:0;Niebieski:0;;;;;;;;;0;;;;;;;;file:///images/27407-large_default-zestaw-slime-z-zabawka-squishy-masa-plastyczna.jpg,file:///images/27297-large_default-zestaw-slime-z-zabawka-squishy-masa-plastyczna.jpg,file:///images/27298-large_default-zestaw-slime-z-zabawka-squishy-masa-plastyczna.jpg,file:///images/27299-large_default-zestaw-slime-z-zabawka-squishy-masa-plastyczna.jpg,file:///images/27300-large_default-zestaw-slime-z-zabawka-squishy-masa-plastyczna.jpg,file:///images/27301-large_default-zestaw-slime-z-zabawka-squishy-masa-plastyczna.jpg,file:///images/27302-large_default-zestaw-slime-z-zabawka-squishy-masa-plastyczna.jpg,file:///images/27303-large_default-zestaw-slime-z-zabawka-squishy-masa-plastyczna.jpg;;;;;
50;;Kolor:color:0;róż:0;;;;;;;;;5;;;;;;;;file:///images/27409-large_default-zestaw-slime-z-zabawka-squishy-masa-plastyczna.jpg,file:///images/27304-large_default-zestaw-slime-z-zabawka-squishy-masa-plastyczna.jpg,file:///images/27305-large_default-zestaw-slime-z-zabawka-squishy-masa-plastyczna.jpg,file:///images/27306-large_default-zestaw-slime-z-zabawka-squishy-masa-plastyczna.jpg,file:///images/27307-large_default-zestaw-slime-z-zabawka-squishy-masa-plastyczna.jpg,file:///images/27308-large_default-zestaw-slime-z-zabawka-squishy-masa-plastyczna.jpg,file:///images/27309-large_default-zestaw-slime-z-zabawka-squishy-masa-plastyczna.jpg,file:///images/27310-large_default-zestaw-slime-z-zabawka-squishy-masa-plastyczna.jpg;;;;;
60;;Kolor:color:0;fuksja:0;;;;;;;;;22;;;;;;;;file:///images/23816-large_default-torebka-nerka-jednorozec-fidget-rozowa.jpg,file:///images/23813-large_default-torebka-nerka-jednorozec-fidget-rozowa.jpg,file:///images/23814-large_default-torebka-nerka-jednorozec-fidget-rozowa.jpg,file:///images/23815-large_default-torebka-nerka-jednorozec-fidget-rozowa.jpg,file:///images/23827-large_default-torebka-nerka-jednorozec-fidget-rozowa.jpg;;;;;
60;;Kolor:color:0;Biały:0;;;;;;;;;2;;;;;;;;file:///images/23823-large_default-torebka-nerka-jednorozec-fidget-rozowa.jpg,file:///images/23820-large_default-torebka-nerka-jednorozec-fidget-rozowa.jpg,file:///images/23821-large_default-torebka-nerka-jednorozec-fidget-rozowa.jpg,file:///images/23822-large_default-torebka-nerka-jednorozec-fidget-rozowa.jpg;;;;;
60;;Kolor:color:0;jasny róż:0;;;;;;;;;15;;;;;;;;file:///images/23819-large_default-torebka-nerka-jednorozec-fidget-rozowa.jpg,file:///images/23817-large_default-torebka-nerka-jednorozec-fidget-rozowa.jpg,file:///images/23818-large_default-torebka-nerka-jednorozec-fidget-rozowa.jpg,file:///images/23824-large_default-torebka-nerka-jednorozec-fidget-rozowa.jpg,file:///images/23825-large_default-torebka-nerka-jednorozec-fidget-rozowa.jpg;;;;;
68;;Kolor:color:0;czarny:0;;;;;;;;;0;;;;;;;;file:///images/23440-large_default-po-pit-spiderman.jpg,file:///images/23441-large_default-po-pit-spiderman.jpg;;;;;
68;;Kolor:color:0;Fioletowy:0;;;;;;;;;0;;;;;;;;file:///images/23440-large_default-po-pit-spiderman.jpg,file:///images/23441-large_default-po-pit-spiderman.jpg;;;;;
