product id;active (0/1);name *;categories (x,y,z...);price tax excluded;tax rules id;wholesale price;on sale (0/1);discount amount;discount percent;discount from (yyyy-mm-dd);discount to (yyyy-mm-dd);reference #;supplier reference #;supplier;manufacturer;ean13;upc;MPN;ecotax;width;height;depth;weight;delivery time of in-stock products;delivery time of out-of-stock products with allowed orders;quantity;minimal quantity;low stock level;send me an email when the quantity is under this level;visibility;additional shipping cost;unity;unit price;summary;description;tags (x,y,z...);meta title;meta keywords;meta description;url rewritten;text when in stock;text when backorder allowed;available for order (0 = no, 1 = yes);product available date;product creation date;show price (0 = no, 1 = yes);image urls (x,y,z...);image alt texts (x,y,z...);delete existing images (0 = no, 1 = yes);feature(name:value:position);available online only (0 = no, 1 = yes);condition;customizable (0 = no, 1 = yes);uploadable files (0 = no, 1 = yes);text fields (0 = no, 1 = yes);out of stock action;virtual product;file url;number of allowed downloads;expiration date;number of days;id / name of shop;advanced stock management;depends on stock;warehouse;acessories  (x,y,z...)
10;1;Fidget Simple Dimple POP IT;Gniotki squishy;11.741057;1;;1;;15;2022-12-12;2023-01-12;;;;;;;;;;;;;;;100;;;;both;8.99;;;"<p>Fidget Toy Dimple</p>
<p>#bubble #push</p>
<h2>POP it!</h2>";"<p>bąbelki do wciskania</p>
<h2>wyraźny dźwięk POP! podczas wciskania</h2>
<p>wykonana z wysokiej jakości tworzywa ABS</p>
<p>Zabawka stymuluje zmysł dotyku i rozwój motoryki małej u dzieci.</p>
<p>BĄBELKI DO WCISKANIA, ZABAWKA SENSORYCZNA</p>
<p>---</p>
<p>rzeczywiste zdjęcia</p>
<p><strong>dostępne 5 wersji kolorystycznych</strong></p>
<p></p>
<p>Dostępne różne kolory. W przypadku braku wskazania we wiadomości dla sprzedającego bezpośrednio w formularzu zakupowym ""pole wiadomość dla sprzedawcy"" - wzór niespodzianka, zawsze pięknie tęczowy widoczny na zdjęciach. Można wskazać również opcję kolorystyczną dla dziewczynki lub chłopca.</p>
<p>Uwaga! Zabawki przeznaczone do użytku pod nadzorem dorosłego.</p>
<p></p>";;;;;;;;;;;;file:///images/18720-large_default-fidget-simple-dimple-pop-it.jpg,file:///images/18602-large_default-fidget-simple-dimple-pop-it.jpg,file:///images/18596-large_default-fidget-simple-dimple-pop-it.jpg,file:///images/18598-large_default-fidget-simple-dimple-pop-it.jpg,file:///images/18599-large_default-fidget-simple-dimple-pop-it.jpg,file:///images/18603-large_default-fidget-simple-dimple-pop-it.jpg,file:///images/18604-large_default-fidget-simple-dimple-pop-it.jpg,file:///images/18600-large_default-fidget-simple-dimple-pop-it.jpg,file:///images/18601-large_default-fidget-simple-dimple-pop-it.jpg,file:///images/18718-large_default-fidget-simple-dimple-pop-it.jpg,file:///images/18719-large_default-fidget-simple-dimple-pop-it.jpg,file:///images/18721-large_default-fidget-simple-dimple-pop-it.jpg,file:///images/18597-large_default-fidget-simple-dimple-pop-it.jpg,file:///images/18907-large_default-fidget-simple-dimple-pop-it.jpg;;;;;;;;;;;;;;;;;;;
11;1;Squishy Avocado;Strona główna;21.943089;1;;0;;;2022-12-12;2023-01-12;;;;;;;;;;;;;;;17;;;;both;8.99;;;"<h2 style=""line-height: 1.3; font-size: 18px; font-family: 'Open Sans', sans-serif; color: #222222; text-size-adjust: 100%;"">WSPANIAŁY PACHNĄCY GNIOTEK</h2>
<p style=""font-size: 16px; color: #222222; font-family: 'Open Sans', sans-serif; line-height: 21px; text-size-adjust: 100%;"">Ściskacz Squishy - rewelacyjna zabawka antystresowa</p>
<h1 style=""font-size: 24px; line-height: 1.3; color: #222222; font-family: 'Open Sans', sans-serif; text-size-adjust: 100%;"">KAWAII JAPAN STYLE AWOKADO AVOCADO</h1>";"<h1 style=""font-size: 24px; line-height: 1.3; color: #222222; font-family: 'Open Sans', sans-serif; text-size-adjust: 100%;"">KAWAII JAPAN STYLE AWOKADO AVOCADO</h1>
<p style=""font-size: 16px; color: #222222; font-family: 'Open Sans', sans-serif; line-height: 21px; text-size-adjust: 100%;"">Sposób na zajęcie niecierpliwych dłoni jak również świetny do ćwiczeń sensorycznych - gniotka można ugniatać na wiele sposobów. Doskonały ściskacz do rozwijania sprawności ruchowej dłoni (mała motoryka).</p>
<p style=""font-size: 16px; color: #222222; font-family: 'Open Sans', sans-serif; line-height: 21px; text-size-adjust: 100%;""></p>
<h2 style=""line-height: 1.3; font-size: 18px; font-family: 'Open Sans', sans-serif; color: #222222; text-size-adjust: 100%;"">100% oryginalne Squishy!</h2>
<p style=""font-size: 16px; color: #222222; font-family: 'Open Sans', sans-serif; line-height: 21px; text-size-adjust: 100%;"">Pianka najlepszej jakości</p>
<p style=""font-size: 16px; color: #222222; font-family: 'Open Sans', sans-serif; line-height: 21px; text-size-adjust: 100%;""><b>Designed in Japan</b></p>
<p style=""font-size: 16px; color: #222222; font-family: 'Open Sans', sans-serif; line-height: 21px; text-size-adjust: 100%;""><b>Super pomysł na prezent !!!</b></p>
<p style=""font-size: 16px; color: #222222; font-family: 'Open Sans', sans-serif; line-height: 21px; text-size-adjust: 100%;""></p>
<p style=""font-size: 16px; color: #222222; font-family: 'Open Sans', sans-serif; line-height: 21px; text-size-adjust: 100%;"">Wysokość: 13,5cm.</p>
<p style=""font-size: 16px; color: #222222; font-family: 'Open Sans', sans-serif; line-height: 21px; text-size-adjust: 100%;"">Szerokość: 8,5cm.</p>
<p style=""font-size: 16px; color: #222222; font-family: 'Open Sans', sans-serif; line-height: 21px; text-size-adjust: 100%;"">Zapach: przyjemny zapach słodkości</p>
<p style=""font-size: 16px; color: #222222; font-family: 'Open Sans', sans-serif; line-height: 21px; text-size-adjust: 100%;"">Materiał: miękka pianka spełniająca normy EN71-3</p>";;;;;;;;;;;;file:///images/23625-large_default-squishy-avocado.jpg,file:///images/23622-large_default-squishy-avocado.jpg,file:///images/23624-large_default-squishy-avocado.jpg,file:///images/23621-large_default-squishy-avocado.jpg,file:///images/23623-large_default-squishy-avocado.jpg;;;;;;;;;;;;;;;;;;;
12;1;Squishy poo jumbo;Gniotki squishy;24.382114;1;;0;;;2022-12-12;2023-01-12;;;;;;;;;;;;;;;10;;;;both;8.99;;;"<h2>WSPANIAŁY PACHNĄCY DUŻY GNIOTEK</h2>
<p>Ściskacz Squishy Jumbo - rewelacyjna zabawka antystresowa</p>
<h1>KAWAII JAPAN STYLE POO KUPKA</h1>";"<h1>KAWAII JAPAN STYLE POO KUPKA</h1>
<p>Sposób na zajęcie niecierpliwych dłoni jak również świetny do ćwiczeń sensorycznych - gniotka można ugniatać na wiele sposobów. Doskonały ściskacz do rozwijania sprawności ruchowej dłoni (mała motoryka).</p>
<p> </p>
<h2>100% oryginalne Squishy!</h2>
<p>Pianka najlepszej jakości</p>
<p><strong>Designed in Japan</strong></p>
<p><strong>Super pomysł na prezent !!!</strong></p>
<p>Wysokość: 12cm</p>
<p>Zapach: przyjemny zapach słodkości</p>
<p>Materiał: miękka pianka spełniająca normy EN71-3</p>";;;;;;;;;;;;file:///images/23650-large_default-squishy-poo-jumbo.jpg,file:///images/23648-large_default-squishy-poo-jumbo.jpg,file:///images/23649-large_default-squishy-poo-jumbo.jpg;;;;;;;;;;;;;;;;;;;
13;1;Squishy syrenka jumbo;Gniotki squishy;24.382114;1;;0;;;2022-12-12;2023-01-12;;;;;;;;;;;;;;;10;;;;both;8.99;;;"<h2>WSPANIAŁY PACHNĄCY DUŻY GNIOTEK</h2>
<p>Ściskacz Squishy Jumbo - rewelacyjna zabawka antystresowa</p>
<h1>KAWAII JAPAN STYLE SYRENKA EMOJI</h1>";"<h1>KAWAII JAPAN STYLE SYRENKA EMOJI</h1>
<p>Sposób na zajęcie niecierpliwych dłoni jak również świetny do ćwiczeń sensorycznych - gniotka można ugniatać na wiele sposobów. Doskonały ściskacz do rozwijania sprawności ruchowej dłoni (mała motoryka).</p>
<p> </p>
<h2>100% oryginalne Squishy!</h2>
<p>Pianka najlepszej jakości</p>
<p><strong>Designed in Japan</strong></p>
<p><strong>Super pomysł na prezent !!!</strong></p>
<p>Wysokość: 11cm ; szerokość: 14cm</p>
<p>Zapach: przyjemny zapach słodkości</p>
<p>Materiał: miękka pianka spełniająca normy EN71-3</p>";;;;;;;;;;;;file:///images/23647-large_default-squishy-syrenka-jumbo.jpg,file:///images/23645-large_default-squishy-syrenka-jumbo.jpg,file:///images/23646-large_default-squishy-syrenka-jumbo.jpg;;;;;;;;;;;;;;;;;;;
14;1;Squishy ptaszek jumbo;Gniotki squishy;24.382114;1;;0;;;2022-12-12;2023-01-12;;;;;;;;;;;;;;;23;;;;both;8.99;;;"<h2>WSPANIAŁY PACHNĄCY DUŻY GNIOTEK</h2>
<p>Ściskacz Squishy Jumbo - rewelacyjna zabawka antystresowa</p>
<h1>KAWAII JAPAN STYLE SOWA OWL</h1>";"<h1>KAWAII JAPAN STYLE SOWA OWL</h1>
<p>Sposób na zajęcie niecierpliwych dłoni jak również świetny do ćwiczeń sensorycznych - gniotka można ugniatać na wiele sposobów. Doskonały ściskacz do rozwijania sprawności ruchowej dłoni (mała motoryka).</p>
<p> </p>
<h2>100% oryginalne Squishy!</h2>
<p>Pianka najlepszej jakości</p>
<p><strong>Designed in Japan</strong></p>
<p><strong>Super pomysł na prezent !!!</strong></p>
<p>Wysokość: 12cm</p>
<p>Zapach: przyjemny zapach słodkości</p>
<p>Materiał: miękka pianka spełniająca normy EN71-3</p>";;;;;;;;;;;;file:///images/23641-large_default-squishy-ptaszek-jumbo.jpg,file:///images/23638-large_default-squishy-ptaszek-jumbo.jpg,file:///images/23639-large_default-squishy-ptaszek-jumbo.jpg,file:///images/23640-large_default-squishy-ptaszek-jumbo.jpg;;;;;;;;;;;;;;;;;;;
15;1;Squishy donut jumbo;Gniotki squishy;24.382114;1;;0;;;2022-12-12;2023-01-12;;;;;;;;;;;;;;;14;;;;both;8.99;;;<p>WSPANIAŁY PACHNĄCY DUŻY GNIOTEK<br />Ściskacz Squishy Jumbo - rewelacyjna zabawka antystresowa</p>;"<p>KAWAII JAPAN STYLE APETYCZNY DONUT <br />Sposób na zajęcie niecierpliwych dłoni jak również świetny do ćwiczeń sensorycznych - gniotka można ugniatać na wiele sposobów. Doskonały ściskacz do rozwijania sprawności ruchowej dłoni (mała motoryka).</p>
<p> </p>
<p>100% oryginalne Squishy!<br />Pianka najlepszej jakości</p>
<p>Designed in Japan</p>
<p>Super pomysł na prezent !!!</p>";;;;;;;;;;;;file:///images/23637-large_default-squishy-donut-jumbo.jpg,file:///images/23635-large_default-squishy-donut-jumbo.jpg,file:///images/23636-large_default-squishy-donut-jumbo.jpg,file:///images/23651-large_default-squishy-donut-jumbo.jpg;;;;;;;;;;;;;;;;;;;
16;1;Squishy misio jumbo;Gniotki squishy;24.382114;1;;0;;;2022-12-12;2023-01-12;;;;;;;;;;;;;;;12;;;;both;8.99;;;<p>WSPANIAŁY PACHNĄCY DUŻY GNIOTEK<br />Ściskacz Squishy Jumbo - rewelacyjna zabawka antystresowa</p>;"<p>KAWAII JAPAN STYLE MIŚ<br />Sposób na zajęcie niecierpliwych dłoni jak również świetny do ćwiczeń sensorycznych - gniotka można ugniatać na wiele sposobów. Doskonały ściskacz do rozwijania sprawności ruchowej dłoni (mała motoryka).</p>
<p> </p>
<p>100% oryginalne Squishy!<br />Pianka najlepszej jakości</p>
<p>Designed in Japan</p>
<p>Super pomysł na prezent !!!</p>
<p>Kolorowy gniotek Kawaii Smakowity Misio<br />Wysokość: 12cm</p>
<p>Zapach: przyjemny zapach słodkości</p>
<p>Materiał: miękka pianka spełniająca normy EN71-3</p>";;;;;;;;;;;;file:///images/23634-large_default-squishy-misio-jumbo.jpg,file:///images/23632-large_default-squishy-misio-jumbo.jpg,file:///images/23633-large_default-squishy-misio-jumbo.jpg;;;;;;;;;;;;;;;;;;;
17;1;Jumbo Squishy ośmiorniczka;Gniotki squishy;24.382114;1;;0;;;2022-12-12;2023-01-12;;;;;;;;;;;;;;;4;;;;both;8.99;;;<p>WSPANIAŁY PACHNĄCY DUŻY GNIOTEK<br />Ściskacz Squishy Jumbo - rewelacyjna zabawka antystresowa</p>;"<p>KAWAII JAPAN STYLE OŚMIORNICA<br />Sposób na zajęcie niecierpliwych dłoni jak również świetny do ćwiczeń sensorycznych - gniotka można ugniatać na wiele sposobów. Doskonały ściskacz do rozwijania sprawności ruchowej dłoni (mała motoryka).</p>
<p> </p>
<p>100% oryginalne Squishy!<br />Pianka najlepszej jakości</p>
<p>Designed in Japan</p>
<p>Super pomysł na prezent !!!</p>
<p> </p>
<p>Kolorowy gniotek Kawaii Ośmiornica<br />Wysokość: 12cm</p>
<p>Zapach: przyjemny zapach słodkości</p>
<p>Materiał: miękka pianka spełniająca normy EN71-3</p>";;;;;;;;;;;;file:///images/23631-large_default-jumbo-squishy-osmiorniczka.jpg,file:///images/23629-large_default-jumbo-squishy-osmiorniczka.jpg,file:///images/23630-large_default-jumbo-squishy-osmiorniczka.jpg;;;;;;;;;;;;;;;;;;;
18;1;Squishy Jumbo Cat kot;Gniotki squishy;24.382114;1;;0;;;2022-12-12;2023-01-12;;;;;;;;;;;;;;;4;;;;both;8.99;;;"<p>WSPANIAŁY PACHNĄCY DUŻY GNIOTEK<br />Ściskacz Squishy Jumbo - rewelacyjna zabawka antystresowa</p>
<p>KAWAII JAPAN STYLE KOTEK PUSHIN</p>";"<p>Sposób na zajęcie niecierpliwych dłoni jak również świetny do ćwiczeń sensorycznych - gniotka można ugniatać na wiele sposobów. Doskonały ściskacz do rozwijania sprawności ruchowej dłoni (mała motoryka).</p>
<p> </p>
<p>100% oryginalne Squishy!<br />Pianka najlepszej jakości</p>
<p>Designed in Japan</p>
<p>Super pomysł na prezent !!!</p>";;;;;;;;;;;;file:///images/23628-large_default-squishy-jumbo-push.jpg,file:///images/23626-large_default-squishy-jumbo-push.jpg,file:///images/23627-large_default-squishy-jumbo-push.jpg,file:///images/23652-large_default-squishy-jumbo-push.jpg;;;;;;;;;;;;;;;;;;;
19;1;Squishy piłka football brązowa;Gniotki squishy;12.186992;1;;0;;;2022-12-12;2023-01-12;;;;;;;;;;;;;;;6;;;;both;8.99;;;<p>12x8cm</p>;;;;;;;;;;;;;file:///images/21974-large_default-squishy-pilka-football-brazowa.jpg;;;;;;;;;;;;;;;;;;;
